Blink Count,Time start,Time end
1,0.123605,0.144517
2,0.165278,0.165278
3,0.18604,0.18604
4,0.223025,0.223025
5,0.241072,0.241072
6,0.980174,1.040227
7,1.060319,1.060319
8,1.080299,1.080299
9,1.100393,1.150461
10,1.280662,1.300754
11,1.320735,1.340827
12,1.360808,1.380899
13,1.40088,1.420972
14,1.440953,1.501117
15,1.521097,1.531165
16,1.551185,1.551185
17,1.581262,1.61131
18,1.63133,1.641315
19,1.661407,1.711475
20,1.731528,1.79162
21,1.811673,1.821697
22,1.851745,1.901842
23,1.961895,2.001968
24,2.04204,2.052108
25,2.082113,2.082113
26,2.102204,2.102204
27,2.122184,2.122184
28,2.142276,2.142276
29,2.162257,2.162257
30,2.182349,2.192345
31,2.25247,2.25247
32,2.27249,2.402693
33,2.482838,2.482838
34,2.50293,2.512925
35,2.532978,2.543002
36,2.562982,2.583074
37,2.613123,2.613123
38,2.653195,2.673215
39,2.763345,2.773413
40,2.803418,2.803418
41,2.82351,2.993795
42,3.144089,3.144089
43,3.16407,3.344452
44,3.404505,3.404505
45,3.424596,3.424596
46,3.444577,3.444577
47,3.464669,3.464669
48,3.48465,3.48465
49,3.504742,3.524723
50,3.544815,3.544815
51,3.584886,3.584886
52,3.624959,3.624959
53,3.655008,3.685013
54,3.725085,3.745176
55,3.765157,3.78525
56,3.845303,3.85537
57,3.885375,3.895443
58,3.925447,3.935516
59,3.955535,3.995607
60,4.065756,4.065756
61,4.085738,4.105829
62,4.12581,4.12581
63,4.165883,4.165883
64,4.19597,4.226047
65,4.246027,4.256095
66,4.2861,4.2861
67,4.306192,4.406317
68,4.42641,4.42641
69,4.44639,4.44639
70,4.466482,4.466482
71,4.486463,4.516549
72,4.536603,4.606681
73,4.626772,4.626772
74,4.646752,4.666844
75,4.686825,4.686825
76,4.706917,4.706917
77,4.726897,4.74699
78,4.76697,4.76697
79,4.787062,4.787062
80,4.807043,4.807043
81,4.827135,4.827135
82,4.847114,4.887188
83,4.907279,4.907279
84,4.927261,4.947351
85,4.967332,4.987425
86,5.007405,5.007405
87,5.027497,5.047478
88,5.06757,5.107641
89,5.127622,5.167695
90,5.187787,5.598507
91,5.628584,5.628584
92,5.648565,5.648565
93,5.668656,5.668656
94,5.708729,5.708729
95,5.728711,5.728711
96,5.748801,5.748801
97,5.768783,5.768783
98,5.788874,5.788874
99,5.808855,5.808855
100,5.828947,5.828947
101,5.848927,5.848927
102,5.86902,5.86902
103,5.889,5.889
104,5.909092,5.909092
105,5.929073,5.929073
106,5.949164,5.949164
107,5.969145,5.969145
108,5.989237,5.989237
109,6.009218,6.009218
110,6.02931,6.02931
111,6.04929,6.04929
112,6.069382,6.069382
113,6.089363,6.089363
114,6.109454,6.109454
115,6.129435,6.129435
116,6.149527,6.149527
117,6.169508,6.169508
118,6.189599,6.189599
119,6.20958,6.20958
120,6.229672,6.229672
121,6.249652,6.249652
122,6.269744,6.269744
123,6.289725,6.289725
124,6.309816,6.309816
125,6.329798,6.329798
126,6.349889,6.349889
127,6.36987,6.36987
128,6.389961,6.389961
129,6.409943,6.409943
130,6.430034,6.430034
131,6.450015,6.450015
132,6.470106,6.470106
133,6.490088,6.490088
134,6.510179,6.510179
135,6.53016,6.53016
136,6.550252,6.550252
137,6.570233,6.570233
138,6.590324,6.590324
139,6.610304,6.610304
140,6.630397,6.630397
141,6.650377,6.650377
142,6.670469,6.670469
143,6.69045,6.69045
144,6.710542,6.710542
145,6.730523,6.730523
146,6.750614,6.750614
147,6.770596,6.770596
148,6.790687,6.790687
149,6.810668,6.810668
150,6.830759,6.830759
151,6.910904,6.910904
152,6.930885,6.930885
153,6.950976,6.950976
154,6.991049,6.991049
155,7.01103,7.01103
156,7.031122,7.031122
157,7.051103,7.051103
158,7.071194,7.071194
159,7.091176,7.091176
160,7.111266,7.111266
161,7.131247,7.131247
162,7.151339,7.151339
163,7.171321,7.171321
164,7.191411,7.191411
165,7.211393,7.211393
166,7.231484,7.231484
167,7.251466,7.251466
168,7.271557,7.271557
169,7.291538,7.291538
170,7.31163,7.31163
171,7.33161,7.33161
172,7.351702,7.351702
173,7.371682,7.371682
174,7.391774,7.391774
175,7.411755,7.411755
176,7.802495,7.802495
177,7.832572,7.832572
178,7.932698,7.932698
179,7.952789,7.952789
180,7.972771,7.972771
181,8.133061,8.133061
182,8.283364,8.283364
183,8.333422,8.333422
184,8.473732,8.473732
185,8.59395,8.59395
186,8.694076,8.694076
187,8.894438,8.894438
188,8.91453,8.91453
189,8.93451,8.93451
190,8.954602,8.954602
191,8.994674,8.994674
192,9.014655,9.014655
193,9.034747,9.034747
194,9.054728,9.054728
195,9.074819,9.074819
196,9.0948,9.0948
197,9.134873,9.134873
198,9.154965,9.154965
199,9.174945,9.174945
200,9.195037,9.195037
201,9.215018,9.215018
202,9.235109,9.235109
203,9.25509,9.25509
204,9.275182,9.275182
205,9.295163,9.295163
206,9.315254,9.315254
207,9.335235,9.335235
208,9.355327,9.355327
209,9.375307,9.375307
210,9.415381,9.415381
211,9.435472,9.435472
212,9.485541,9.485541
213,9.505592,9.505592
214,9.555689,9.555689
215,9.595762,9.595762
216,9.695888,9.695888
217,9.715979,9.715979
218,9.776033,9.856178
219,9.936322,9.936322
220,10.03656,10.03656
221,10.878082,10.958227
222,10.978207,10.978207
223,10.998299,10.998299
224,11.038372,11.038372
225,11.459078,11.459078
226,11.619368,11.619368
227,11.699512,11.699512
228,11.859802,12.180383
229,12.320692,12.320692
230,12.340673,12.400837
231,12.46089,12.46089
232,12.480982,12.480982
233,12.500962,12.521054
234,12.541035,12.711392
235,12.741398,12.78147
236,12.801562,12.801562
237,12.821543,12.841634
238,12.861615,12.9919
239,13.041997,13.041997
240,13.061978,13.08207
241,13.10205,13.122142
242,13.142122,13.162215
243,13.182195,13.202287
244,13.222267,13.222267
245,13.242359,13.242359
246,13.26234,13.282431
247,13.302412,13.322505
248,13.342485,13.402649
249,13.422631,13.422631
250,13.442722,13.442722
251,13.462703,13.462703
252,13.482794,13.482794
253,13.502775,13.522866
254,13.542848,13.562939
255,13.58292,13.58292
256,13.603012,13.603012
257,13.622992,13.622992
258,13.643084,13.643084
259,13.663066,13.703137
260,13.72323,13.72323
261,13.74321,13.763302
262,13.783282,13.783282
263,13.803374,13.803374
264,13.823355,13.903501
265,13.923592,13.923592
266,13.943573,13.963664
267,13.983645,14.003737
268,14.023718,14.043809
269,14.06379,14.123954
270,14.143935,14.164027
271,14.184008,14.184008
272,14.2041,14.2041
273,14.224081,14.244171
274,14.264153,14.264153
275,14.284244,14.284244
276,14.304225,14.324317
277,14.344298,14.364389
278,14.384369,14.404461
279,14.424443,14.424443
280,14.444535,14.444535
281,14.464515,14.464515
282,14.484607,14.484607
283,14.504587,14.504587
284,14.524679,14.524679
285,14.544661,14.544661
286,14.564752,14.564752
287,14.584732,14.584732
288,14.604824,14.70495
289,14.785096,14.795162
290,14.825167,14.895328
291,14.925405,14.925405
292,14.945385,14.945385
293,14.965477,14.985457
294,15.02553,15.02553
295,15.045622,15.055618
296,15.105675,15.105675
297,15.125767,15.145748
298,15.18582,15.205912
299,15.225892,15.245984
300,15.265965,15.265965
301,15.286057,15.286057
302,15.306038,15.32613
303,15.34611,15.366202
304,15.386183,15.386183
305,15.406274,15.406274
306,15.426256,15.426256
307,15.446346,15.446346
308,15.466327,15.526492
309,15.546473,15.546473
310,15.566564,15.586546
311,15.606637,15.66669
312,15.686782,15.706762
313,15.726854,15.726854
314,15.746836,15.806999
315,15.82698,15.847072
316,15.867053,15.927217
317,15.947197,15.987271
318,16.007362,16.047433
319,16.067415,16.247796
320,16.287869,16.287869
321,16.30785,16.30785
322,16.327941,16.327941
323,16.347922,16.347922
324,16.368014,16.368014
325,16.387996,16.408086
326,16.428068,16.428068
327,16.448159,16.448159
328,16.46814,16.46814
329,16.488232,16.528304
330,16.548286,16.548286
331,16.568376,16.568376
332,16.588358,16.588358
333,16.608449,16.608449
334,16.628431,16.628431
335,16.648521,16.648521
336,16.668503,16.668503
337,16.688594,16.758714
338,16.788721,16.788721
339,16.808811,16.808811
340,16.828793,16.848884
341,16.868865,16.888957
342,16.908936,16.989083
343,17.049247,17.049247
344,17.089319,17.089319
345,17.1093,17.1093
346,17.129391,17.129391
347,17.149372,17.149372
348,17.169464,17.169464
349,17.189445,17.189445
350,17.209536,17.209536
351,17.229518,17.229518
352,17.249609,17.249609
353,17.309663,17.309663
354,17.329754,17.329754
355,17.349735,17.349735
356,17.369827,17.369827
357,17.409899,17.409899
358,17.449972,17.449972
359,17.510025,17.510025
360,17.570189,17.570189
361,17.790533,17.790533
362,17.990895,18.000962
363,18.020982,18.020982
364,18.041034,18.041034
365,18.061055,18.061055
366,18.081107,18.081107
367,18.211348,18.211348
368,18.291494,18.291494
369,18.311475,18.311475
370,18.331566,18.331566
371,18.351548,18.351548
372,18.37164,18.37164
373,18.39162,18.39162
374,18.421707,18.511838
375,18.541925,18.55191
376,18.581997,18.692218
377,18.822432,18.842485
378,18.862505,18.862505
379,18.882557,18.882557
380,18.902577,18.902577
381,18.92263,18.92263
382,18.94265,18.982723
383,19.002773,19.002773
384,19.022794,19.022794
385,19.042847,19.042847
386,19.062868,19.062868
387,19.08292,19.08292
388,19.10294,19.10294
389,19.122992,19.122992
390,19.143013,19.143013
391,19.313288,19.313288
392,19.353359,19.353359
393,19.393433,19.393433
394,19.413524,19.413524
395,19.433505,19.473578
396,19.493669,19.493669
397,19.553723,19.553723
398,19.573814,19.573814
399,19.944462,19.944462
400,20.024608,20.024608
401,20.04466,20.04466
402,20.415336,20.445385
403,21.066493,21.066493
404,21.086545,21.086545
405,21.106565,21.106565
406,21.126617,21.126617
407,21.146636,21.146636
408,21.246834,21.246834
409,21.286907,21.286907
410,21.306927,21.306927
411,21.32698,21.32698
412,21.347,21.347
413,21.447197,21.447197
414,21.467217,21.467217
415,21.487269,21.487269
416,21.50729,21.50729
417,21.567415,21.567415
418,21.717637,21.737729
419,21.797782,21.797782
420,21.837855,21.837855
421,21.857946,21.857946
422,21.877928,21.877928
423,21.898019,21.898019
424,21.918001,21.918001
425,21.978164,21.978164
426,21.998145,21.998145
427,22.018237,22.278652
428,22.328792,22.338817
429,22.358798,22.438943
430,22.479015,22.479015
431,22.499106,22.589247
432,22.619324,22.619324
433,22.639305,22.71945
434,22.779613,22.779613
435,22.799595,23.100194
436,23.120176,23.180339
437,23.240393,23.290532
438,23.36061,23.370677
439,23.400682,23.41075
440,23.440755,23.450822
441,23.480828,23.490894
442,23.5209,23.530967
443,23.560973,23.581064
444,23.601045,23.641117
445,23.661209,23.661209
446,23.68119,23.701281
447,23.721263,23.721263
448,23.741354,23.741354
449,23.761335,23.801407
450,23.821499,23.821499
451,23.84148,23.901644
452,23.941717,23.941717
453,23.961698,23.981789
454,24.00177,24.021861
455,24.041843,24.061934
456,24.081915,24.081915
457,24.102007,24.121988
458,24.142078,24.142078
459,24.162061,24.222224
460,24.242205,24.242205
461,24.262296,24.262296
462,24.282278,24.302369
463,24.32235,24.342442
464,24.362423,24.422587
465,24.442568,24.502731
466,24.522713,24.622949
467,24.64293,24.64293
468,24.663021,24.763148
469,24.783239,24.863384
470,24.883365,24.883365
471,24.903456,24.903456
472,24.923437,24.983601
473,25.023674,25.023674
474,25.043655,25.043655
475,25.063747,25.123801
476,25.143892,25.143892
477,25.163872,25.183964
478,25.203945,25.224036
479,25.244018,25.274104
480,25.364236,25.374302
481,25.404308,25.444381
482,25.464472,25.464472
483,25.484452,25.484452
484,25.504544,25.504544
485,25.524525,25.584689
486,25.60467,25.644743
487,25.664834,25.664834
488,25.684815,25.704907
489,25.724888,25.875192
490,25.92525,26.235845
491,26.305994,26.31599
492,26.336042,26.346067
493,26.366047,26.386139
494,26.40612,26.426212
495,26.446193,26.446193
496,26.466284,26.466284
497,26.486265,26.496333
498,26.536404,26.556425
499,26.586501,26.586501
500,26.606483,26.616549
501,26.646556,26.656622
502,26.676643,26.686628
503,26.706719,26.706719
504,26.7267,26.746791
505,26.77684,26.826936
506,26.846917,26.877005
507,26.917077,26.927063
508,26.977202,26.977202
509,27.037295,27.037295
510,27.107443,27.20757
511,27.247643,27.377927
512,27.407933,27.407933
513,27.448005,27.458072
514,27.488078,27.488078
515,27.50817,27.50817
516,27.52815,27.52815
517,27.548241,27.548241
518,27.57829,27.588315
519,27.648368,27.668459
520,27.698507,27.698507
521,27.718528,27.73858
522,27.7586,27.778652
523,27.798672,27.818725
524,27.838745,27.878817
525,27.928875,27.938942
526,27.968948,27.979014
527,27.999035,28.039108
528,28.089165,28.099232
529,28.119252,28.129238
530,28.16931,28.179377
531,28.209383,28.21945
532,28.249455,28.259522
533,28.289528,28.299594
534,28.3296,28.339667
535,28.369672,28.37974
536,28.409746,28.419812
537,28.449818,28.459885
538,28.529963,28.529963
539,28.570035,28.570035
540,28.610108,28.610108
541,28.65018,28.65018
542,28.690252,28.690252
543,28.730325,28.730325
544,28.850543,28.850543
545,28.870634,28.870634
546,28.890615,28.890615
547,29.010833,29.010833
548,29.050905,29.050905
549,30.25308,30.25308
550,30.493515,30.493515
551,30.533588,30.533588
552,30.613733,30.613733
553,30.693878,30.693878
554,30.774023,30.774023
555,30.794114,30.794114
556,31.174747,31.21482
557,31.335038,31.335038
558,31.355129,31.355129
559,31.69569,31.69569
560,31.715782,31.715782
561,32.156579,32.156579
562,32.17656,32.17656
563,32.196651,32.457068
564,32.477159,32.477159
565,32.49714,32.517232
566,32.537212,32.557304
567,32.577285,32.577285
568,32.597376,32.597376
569,32.617358,32.617358
570,32.637449,32.637449
571,32.65743,32.65743
572,32.677521,32.677521
573,32.697502,32.717594
574,32.737575,32.777648
575,32.81772,32.837812
576,32.857793,32.857793
577,32.877884,32.877884
578,32.897865,32.897865
579,32.917957,32.937938
580,32.958029,32.978011
581,32.998101,33.058156
582,33.078246,33.078246
583,33.098228,33.098228
584,33.118319,33.118319
585,33.1383,33.1383
586,33.158391,33.158391
587,33.178373,33.178373
588,33.198464,33.198464
589,33.218446,33.218446
590,33.238536,33.238536
591,33.258518,33.268584
592,33.29859,33.338663
593,33.358753,33.358753
594,33.378735,33.378735
595,33.398826,33.398826
596,33.418807,33.438899
597,33.45888,33.45888
598,33.478972,33.478972
599,33.498952,33.498952
600,33.519044,33.519044
601,33.539025,33.539025
602,33.559116,33.559116
603,33.579098,33.579098
604,33.599189,33.599189
605,33.619171,33.619171
606,33.639262,33.639262
607,33.659243,33.659243
608,33.679334,33.679334
609,33.699314,33.699314
610,33.719406,33.719406
611,33.739388,33.739388
612,33.75948,33.75948
613,33.779459,33.919769
614,33.93975,33.93975
615,33.959842,33.959842
616,33.979823,33.979823
617,33.999914,33.999914
618,34.019895,34.019895
619,34.039987,34.039987
620,34.059967,34.059967
621,34.080059,34.080059
622,34.10004,34.10004
623,34.120132,34.120132
624,34.140113,34.160204
625,34.180185,34.180185
626,34.200277,34.200277
627,34.220258,34.220258
628,34.240349,34.280422
629,34.300402,34.300402
630,34.320494,34.320494
631,34.340475,34.340475
632,34.360567,34.360567
633,34.380547,34.380547
634,34.400639,34.400639
635,34.42062,34.440711
636,34.460693,34.58091
637,34.601001,34.601001
638,34.620982,34.620982
639,34.641074,34.641074
640,34.661056,34.661056
641,34.681147,34.681147
642,34.701128,34.701128
643,34.721219,34.801364
644,34.821345,34.861418
645,34.881509,34.921581
646,34.95163,34.961654
647,34.981636,34.981636
648,35.001725,35.181998
649,35.202088,35.202088
650,35.232137,35.302215
651,35.322307,35.362379
652,35.382361,35.392427
653,35.422432,35.422432
654,35.442524,35.442524
655,35.462505,35.522669
656,35.54265,35.642886
657,35.662868,35.70294
658,35.723031,35.763105
659,35.783086,35.823158
660,35.843249,35.843249
661,35.863231,35.883322
662,35.903302,35.903302
663,35.923394,35.923394
664,35.943375,35.963467
665,35.983448,35.983448
666,36.003539,36.003539
667,36.02352,36.02352
668,36.043612,36.334115
669,36.354168,36.374187
670,36.394239,36.444337
671,36.464319,36.50439
672,36.524482,36.564554
673,36.594603,36.604626
674,36.624608,36.634674
675,36.674747,36.684772
676,36.704752,36.754892
677,36.784897,36.82497
678,36.845061,36.885134
679,36.905116,36.925206
680,36.945188,36.98526
681,37.005352,37.025333
682,37.045424,37.165641
683,37.185623,37.255783
684,37.275834,37.335927
685,37.355978,37.355978
686,37.375999,37.416072
687,37.436124,37.436124
688,37.456145,37.456145
689,37.476197,37.476197
690,37.496218,37.526294
691,37.546276,37.546276
692,37.566366,37.566366
693,37.586347,37.586347
694,37.927019,37.927019
695,37.947,37.947
696,37.967091,37.977087
697,38.017159,38.017159
698,38.067218,38.067218
699,38.10729,38.10729
700,38.137377,38.137377
701,38.157429,38.157429
702,38.197502,38.197502
703,38.217523,38.237574
704,38.257595,38.287671
705,38.347725,38.347725
706,38.387798,38.397864
707,40.271205,40.341364
708,40.772167,40.772167
709,41.152801,41.152801
